tconst;tmdb_id;acteur_principal_;actor_image_url
tt0054064;109916;Susan Hayward;https://image.tmdb.org/t/p/w500/ycgStET6VSECnnk0JV6hJOs57kY.jpg
tt0054069;67536;Simone Signoret;https://image.tmdb.org/t/p/w500/vRI2Vt3HX911uDrVK170waQsL8b.jpg
tt0054084;12617;Doris Day;https://image.tmdb.org/t/p/w500/jZ23zCJ5zB1RI4uM8eXbyllr01h.jpg
tt0054086;3582;Sophia Loren;https://image.tmdb.org/t/p/w500/lxhkn933v8EuBHvfTWSS5SQQnJ4.jpg
tt0054091;83662;Jeanne Moreau;https://image.tmdb.org/t/p/w500/lsIlRbcStJev5n1mypIeUUYKWuy.jpg
tt0054094;438330;Françoise Arnoul;https://image.tmdb.org/t/p/w500/hEPf8QzLrsoTzgjbxnlargEbRb0.jpg
tt0054095;102165;James Stewart;https://image.tmdb.org/t/p/w500/jam9DRhOuKomlr0vUXTamPoxPdk.jpg
tt0054102;15375;Stuart Whitman;https://image.tmdb.org/t/p/w500/cRov050vMurqfIsDG6TgVWxoYMq.jpg
tt0054112;357100;Zachary Scott;https://image.tmdb.org/t/p/w500/xpaQEamAxrDU0yrbol8MERwcIJt.jpg
tt0054115;36631;Richard Todd;https://image.tmdb.org/t/p/w500/3HRtRwg4PB3IeYkco9bXsQ6XBUr.jpg
tt0054120;117899;Robert Mitchum;https://image.tmdb.org/t/p/w500/l0It7MePd9cwgqHR3JQAYD6YMg9.jpg
tt0054127;6523;John Wayne;https://image.tmdb.org/t/p/w500/vI1DyoZxvz51Gxb8uwVLwladohk.jpg
tt0054135;299;Frank Sinatra;https://image.tmdb.org/t/p/w500/dafKPsivu50RdChBSrgGmMRenYt.jpg
tt0054141;188136;Yul Brynner;https://image.tmdb.org/t/p/w500/8D1cJIcImp8UZWLjqn2aNrqfloM.jpg
tt0054142;118697;Alan Ladd;https://image.tmdb.org/t/p/w500/uGB0o5okVhsS7ogtwwEXmbtRF2k.jpg
tt0054153;289599;Renato Rascel;https://image.tmdb.org/t/p/w500/gEMKYghPEzTMiZe9Dfi4pFCwSLo.jpg
tt0054156;43026;Betty Schneider;https://image.tmdb.org/t/p/w500/qw4AzLOmiDgS60DnHyMJA1sCR41.jpg
tt0054161;154578;Charles Aznavour;https://image.tmdb.org/t/p/w500/yC3yv9Z8J8v4UteLFiDIx97fKYx.jpg
tt0054164;37083;Ernest Borgnine;https://image.tmdb.org/t/p/w500/vlq94UdNfjLnd9DAkKC94vKLfJJ.jpg
tt0054172;82792;Cantinflas;https://image.tmdb.org/t/p/w500/iASObohpLJzqYQM6bQzyup3QvEs.jpg
tt0054177;50785;Anna Karina;https://image.tmdb.org/t/p/w500/oSYtIsMpV8sZD6opNrOnWsspR0D.jpg
tt0054188;19414;Doris Day;https://image.tmdb.org/t/p/w500/jZ23zCJ5zB1RI4uM8eXbyllr01h.jpg
tt0054189;10363;Alain Delon;https://image.tmdb.org/t/p/w500/dRPDxFehaVGbHojEUsCvqLSNfqH.jpg
tt0054190;194487;Jeff Chandler;https://image.tmdb.org/t/p/w500/7fh0EcV4LX3SxLOFmpSSar5TAjB.jpg
tt0054195;31102;Jane Wyman;https://image.tmdb.org/t/p/w500/A5aHswRznZbCzbU4aD4lJ1r1J62.jpg
tt0054196;4899;Dany Saval;https://image.tmdb.org/t/p/w500/kzVFP1AENuoojCdbxDrUX6Muc2f.jpg
tt0054197;39779;Lana Turner;https://image.tmdb.org/t/p/w500/5nyFlzZ9Dkih2MWOFSK4B90j4GX.jpg
tt0054198;43039;Melina Mercouri;https://image.tmdb.org/t/p/w500/klw1lzuMZJDqDJMdypSYSkx8R0K.jpg
tt0054204;415836;John Ericson;https://image.tmdb.org/t/p/w500/383uBWGjEchVGvYaQfLg6DdUZoL.jpg
tt0054208;104305;Jean Marais;https://image.tmdb.org/t/p/w500/cixkEqevNXJVy7u666VcgyrdQSZ.jpg
tt0054210;175295;Annie Girardot;https://image.tmdb.org/t/p/w500/e9OM5HIjcpojNCMlQe1AWog50T6.jpg
tt0054230;121636;Tony Curtis;https://image.tmdb.org/t/p/w500/6Pj1XkYdI5Wc40Jl0UxJk8PPwlY.jpg
tt0054236;332894;Raf Vallone;https://image.tmdb.org/t/p/w500/hdTagZJtaQ3tELU600rpUP5m6gL.jpg
tt0054243;43046;Ray Danton;https://image.tmdb.org/t/p/w500/m6AbhBmKtBIBxYoB48l7M3PNAp2.jpg
tt0054259;336193;Jean Seberg;https://image.tmdb.org/t/p/w500/mNW6MJ5YAiFWAnH9pCmi0PjKXc.jpg
tt0054264;533426;Félix Marten;https://image.tmdb.org/t/p/w500/wQOTVGJDHa4YuKUEyM3agug103h.jpg
tt0054269;37230;Albert Finney;https://image.tmdb.org/t/p/w500/a2qJxu55s97ySRdjsy2ywIXJvhf.jpg
tt0054271;152812;Denholm Elliott;https://image.tmdb.org/t/p/w500/5gbt1mJEOSuKHqi0CWl1okXjkim.jpg
tt0054279;36741;Ian Carmichael;https://image.tmdb.org/t/p/w500/rTgRKxbcxRbEhbY88wYTstZRDDt.jpg
tt0054284;218532;Lex Barker;https://image.tmdb.org/t/p/w500/9Bsvemc5lCvKNJdS5bt4BEa7TFR.jpg
tt0054292;43040;Jeffrey Hunter;https://image.tmdb.org/t/p/w500/xbL9FuZ7hFPzNUAy7p6aNQTNVxr.jpg
tt0054295;64605;Edward G. Robinson;https://image.tmdb.org/t/p/w500/UkZdBmDs7Qw8caX7PlF1Spk8kR.jpg
tt0054296;78550;Audie Murphy;https://image.tmdb.org/t/p/w500/1ljBPY1utBfHSYiT1KZc9rFfBud.jpg
tt0054306;137378;Donald Sinden;https://image.tmdb.org/t/p/w500/AaHT02f2FMqEKEleTZrXbnnSCHU.jpg
tt0054310;18780;Kenneth More;https://image.tmdb.org/t/p/w500/tS9iGQkclmBi4rvK0B6EEvhBbhc.jpg
tt0054324;129553;Dirk Bogarde;https://image.tmdb.org/t/p/w500/f0S6MxxcYb367KtnXWTH8DoWHMt.jpg
tt0054326;53939;Trevor Howard;https://image.tmdb.org/t/p/w500/6HDJGXcedqyHx7oCPtUdCXn4z76.jpg
tt0054328;146563;Van Heflin;https://image.tmdb.org/t/p/w500/hE9Hnv2RScUGCwkfFiRLrxqjeQQ.jpg
tt0054329;562750;Gérard Blain;https://image.tmdb.org/t/p/w500/pPYuPqx8NrieLkNpZhUKej5s3tx.jpg
tt0054331;967;Kirk Douglas;https://image.tmdb.org/t/p/w500/t94It9bPI6uBvNuuQlQipyYyURC.jpg
tt0054342;193114;Jeff Chandler;https://image.tmdb.org/t/p/w500/7fh0EcV4LX3SxLOFmpSSar5TAjB.jpg
tt0054343;43042;Elana Eden;https://image.tmdb.org/t/p/w500/7txrE5PMpbFQpbd6ciP3xSBlJg5.jpg
tt0054345;85926;Kirk Douglas;https://image.tmdb.org/t/p/w500/t94It9bPI6uBvNuuQlQipyYyURC.jpg
tt0054348;175948;Christopher Knight;https://raw.githubusercontent.com/Ptit-Lulu/Projet2_Cinema_Creuse/Machine_Learning/pages/Image_non_disponible.jpg
tt0054351;238814;Leslie Caron;https://image.tmdb.org/t/p/w500/8KaogFPimucFHFyUkdA0c0Bym5C.jpg
tt0054353;43047;Deborah Kerr;https://image.tmdb.org/t/p/w500/dHFhOEhHnn5cQjQN29IGRxzoxBP.jpg
tt0054355;208692;Yul Brynner;https://image.tmdb.org/t/p/w500/8D1cJIcImp8UZWLjqn2aNrqfloM.jpg
tt0054357;18444;John Mills;https://image.tmdb.org/t/p/w500/jMqhI1NeTwgdKsrj9vMshk1r5hP.jpg
tt0054358;115972;Richard Greene;https://image.tmdb.org/t/p/w500/4BOJccYhTOMIcomAzhhzQjnrJkd.jpg
tt0054367;86297;Anthony Perkins;https://image.tmdb.org/t/p/w500/7FipKwmg2woHNvt5ATeXLBirHXs.jpg
tt0054368;83407;Gordon Scott;https://image.tmdb.org/t/p/w500/eR1MfkIluuqrb1MIKUfWV3PKSpY.jpg
tt0054372;231259;Brian Keith;https://image.tmdb.org/t/p/w500/c5Tnce8aeEVigEgctnkNcy4jc2l.jpg
tt0054379;402695;Norman Wisdom;https://image.tmdb.org/t/p/w500/pF2FKj6me3XuAw69EIk7JrQL0St.jpg
tt0054381;50947;Rita Moreno;https://image.tmdb.org/t/p/w500/zB0M77jr7tmsmWHEr2bWO2Xq66L.jpg
tt0054387;2134;Rod Taylor;https://image.tmdb.org/t/p/w500/nSpfs8lXHxWcksZW3qC9ArMLAqZ.jpg
tt0054389;1818;Charles Aznavour;https://image.tmdb.org/t/p/w500/yC3yv9Z8J8v4UteLFiDIx97fKYx.jpg
tt0054390;37200;Kevin Corcoran;https://image.tmdb.org/t/p/w500/5xYpCJk8ig9dzNJWcYlWx6AZsei.jpg
tt0054392;219080;Jennifer West;https://raw.githubusercontent.com/Ptit-Lulu/Projet2_Cinema_Creuse/Machine_Learning/pages/Image_non_disponible.jpg
tt0054394;79878;Jean Richard;https://image.tmdb.org/t/p/w500/69Jq6UJHumk3SeDDRmgMslgnDGK.jpg
tt0054403;172535;Peter Finch;https://image.tmdb.org/t/p/w500/uwIimbLsEGMkqsEGtYCSKXoWZag.jpg
tt0054407;29259;André Bervil;https://image.tmdb.org/t/p/w500/6MEA8Lx1UocuWyCNH7oC6p8WR7l.jpg
tt0054410;286912;Madeleine Robinson;https://image.tmdb.org/t/p/w500/2YvbR42YJ94WkvabRXy0mKHuwXb.jpg
tt0054412;43048;Alec Guinness;https://image.tmdb.org/t/p/w500/q9QgiNDEO6lbi7uMAOw0OgWn8DG.jpg
